Text,Context,Show,Label
SHELDON: It's just a privilege to watch your mind at work.,"LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.
 SHELDON: My apologies. What's your plan?
",BBT,1
PENNY: I don't think I'll be able to stop thinking about it.,"HOWARD: This is one of my favorite places to kick back after a quest. They have a great house ale.
 PENNY: Cool tiger.
 HOWARD: Yeah, I've had him since level ten.
 HOWARD: His name is Buttons.
 HOWARD: Anyway, if you had your own game character we could hang out, maybe go on a quest.
 PENNY: That sounds interesting.
 HOWARD: You'll think about it?
",BBT,1
"SHELDON: Since it's not bee season, you can have my epinephrine.","LEONARD: Here we go. Pad thai, no peanuts.
 HOWARD: But does it have peanut oil?
 LEONARD: I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.
",BBT,0
"SHELDON: Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.","PENNY: A marathon? How many Superman movies are there?
 SHELDON: You're kidding, right?
 PENNY: I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?
 SHELDON: One.
 SHELDON: You realize that scene was rife with scientific inaccuracy.
 PENNY: Yes, I know, men can't fly.
 SHELDON: Let's assume that they can.
",BBT,0
SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,"SHELDON: Great Caesar's ghost, look at this place.
 LEONARD: So Penny's a little messy.
 SHELDON: A little messy?
 SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos.
 SHELDON: Excuse me.
 SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid.
",BBT,1
"HOWARD: Sheldon, if you were a robot, and I knew and you didn't...","PERSON: On the other hand, no arousal.
 LEONARD: None?
 PERSON: None.
 LEONARD: Thank you for your time.
 PERSON: Thank you.
 LEONARD: None at all?
",BBT,0
"SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.","SHELDON: Oh, good Lord.
 LEONARD: God, that's a good song.
",BBT,1
SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.,"LEONARD: How do I look?
 SHELDON: Could you be more specific?
 LEONARD: Can you tell I'm perspiring a little?
",BBT,1
"SHELDON: How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.","SHELDON: You know, I am not going to enjoy this party.
 LEONARD: I know, I'm familiar with you.
 SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.
 LEONARD: Yes, I was there.
 SHELDON: You know what's interesting about caves?
 LEONARD: What?
 SHELDON: Nothing.
 LEONARD: Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.
",BBT,1
"LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.","PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.
 PERSON: You're in?
 LEONARD: Yeah, sure, why not?
 PERSON: Great, we rehearse on Tuesdays at your place.
 LEONARD: Why at my place?
 PERSON: Department of Energy said our regular space is kind of a hot zone.
 PERSON: Nice meeting you.
 PENNY: Yeah, you, too.
Leonard, I didn't know you played the cello.
",BBT,1
